Generation,Individual,WalkingTime,ExposureTime
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,163,6276,Y->H->B->V->A->M->L->P->U->D->I->J->F->W->T->E->Q->N->S->G->C->Z->R->K->O->X,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,199,7200,M->K->F->H->C->X->N->A->W->U->G->B->I->T->R->V->P->E->Q->D->L->Y->S->J->O->Z,H2V
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
0,187,7312,C->M->P->Z->B->G->K->F->H->Q->X->O->W->S->T->J->U->D->V->N->I->R->L->Y->E->A,V2H
