Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,241,9736,B->O->N->G->W->D->F->U->H->J->M->Q->L->Y->X->A->K->Z->P->E->S->R->C->I->V->T,V2H
0,203,7548,B->O->G->F->H->Y->X->P->J->D->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->S->C,V2H
0,203,7548,B->O->G->F->H->Y->X->P->J->D->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->S->C,V2H
0,217,8722,P->K->T->F->C->B->Y->A->G->U->S->D->N->R->I->Z->M->E->W->Q->J->X->H->O->V->L,H2V
0,227,9358,Z->D->F->H->O->L->C->U->J->B->T->E->Q->I->R->X->M->A->P->G->Y->S->N->V->K->W,V2H
0,201,7180,G->Y->P->B->S->D->N->R->I->Z->M->H->F->O->J->T->W->E->A->L->U->Q->K->V->C->X,V2H
0,201,7180,G->Y->P->B->S->D->N->R->I->Z->M->H->F->O->J->T->W->E->A->L->U->Q->K->V->C->X,V2H
0,227,9106,K->N->R->E->W->D->F->U->H->J->M->Q->L->Y->X->A->T->G->Z->V->B->C->S->P->O->I,V2H
0,227,9106,K->N->R->E->W->D->F->U->H->J->M->Q->L->Y->X->A->T->G->Z->V->B->C->S->P->O->I,V2H
0,215,6872,G->Y->P->B->S->H->F->O->J->D->T->W->E->M->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
1,207,7224,G->Y->P->B->S->D->R->I->M->H->F->O->J->T->W->E->A->L->U->Q->K->N->Z->V->C->X,V2H
1,207,7224,G->Y->P->B->S->D->R->I->M->H->F->O->J->T->W->E->A->L->U->Q->K->N->Z->V->C->X,V2H
1,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
1,193,6410,B->O->G->F->H->Y->X->P->J->W->T->D->E->M->A->L->R->I->U->Q->K->N->Z->V->C->S,V2H
1,211,8692,P->K->T->F->C->B->Y->A->G->U->S->D->N->R->I->Z->M->E->W->Q->J->H->O->V->L->X,V2H
1,197,6812,G->Y->P->B->S->D->M->H->F->O->J->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,H2V
1,197,6812,G->Y->P->B->S->D->M->H->F->O->J->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,H2V
1,205,8286,B->O->G->F->H->Y->X->P->J->D->T->M->R->I->N->Z->W->E->A->L->U->Q->K->V->S->C,V2H
1,195,6926,B->O->G->F->H->Y->X->P->J->D->T->W->E->M->A->L->R->I->U->Q->N->Z->K->V->S->C,H2V
1,195,6926,B->O->G->F->H->Y->X->P->J->D->T->W->E->M->A->L->R->I->U->Q->N->Z->K->V->S->C,H2V
2,197,6572,G->Y->P->B->S->D->M->H->F->O->J->T->W->E->A->L->R->I->U->Q->K->N->Z->V->C->X,V2H
