Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,215,8184,Q->L->X->Z->J->A->B->K->O->U->T->F->E->S->C->G->P->W->D->M->I->H->Y->N->R->V,H2V
0,213,7868,Q->L->X->J->A->U->T->F->E->S->C->G->W->D->M->I->H->Y->P->O->K->N->Z->B->R->V,H2V
0,227,8192,A->H->M->E->Z->J->F->P->V->L->X->W->R->Q->G->B->O->S->I->D->U->N->C->K->Y->T,H2V
0,229,8440,S->I->F->L->W->H->Q->Y->E->B->V->U->J->M->C->G->T->D->P->O->K->N->Z->A->X->R,H2V
0,229,8440,S->I->F->L->W->H->Q->Y->E->B->V->U->J->M->C->G->T->D->P->O->K->N->Z->A->X->R,H2V
0,223,8296,M->E->G->Q->U->J->V->W->L->X->S->A->T->D->P->O->K->N->Z->B->F->I->R->C->H->Y,V2H
0,223,8296,M->E->G->Q->U->J->V->W->L->X->S->A->T->D->P->O->K->N->Z->B->F->I->R->C->H->Y,V2H
0,231,8974,Q->L->Z->J->B->K->O->U->F->E->S->C->G->P->W->D->M->I->H->Y->N->V->T->A->X->R,H2V
0,219,9296,K->P->X->M->N->A->F->D->U->B->T->O->Z->I->S->G->H->Y->W->J->E->C->V->Q->R->L,V2H
0,219,9296,K->P->X->M->N->A->F->D->U->B->T->O->Z->I->S->G->H->Y->W->J->E->C->V->Q->R->L,V2H
1,215,8184,Q->L->X->Z->J->A->B->K->O->U->T->F->E->S->C->G->P->W->D->M->I->H->Y->N->R->V,H2V
1,213,7868,Q->L->X->J->A->U->T->F->E->S->C->G->W->D->M->I->H->Y->P->O->K->N->Z->B->R->V,H2V
1,227,8192,A->H->M->E->Z->J->F->P->V->L->X->W->R->Q->G->B->O->S->I->D->U->N->C->K->Y->T,H2V
1,203,7572,Q->L->X->J->A->H->Y->O->K->U->T->F->E->S->C->G->P->W->D->M->I->N->Z->B->R->V,H2V
1,203,7572,Q->L->X->J->A->H->Y->O->K->U->T->F->E->S->C->G->P->W->D->M->I->N->Z->B->R->V,H2V
1,207,7284,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
1,207,7284,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
1,231,8974,Q->L->Z->J->B->K->O->U->F->E->S->C->G->P->W->D->M->I->H->Y->N->V->T->A->X->R,H2V
1,219,9296,K->P->X->M->N->A->F->D->U->B->T->O->Z->I->S->G->H->Y->W->J->E->C->V->Q->R->L,V2H
1,219,9296,K->P->X->M->N->A->F->D->U->B->T->O->Z->I->S->G->H->Y->W->J->E->C->V->Q->R->L,V2H
2,207,7054,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
2,207,7054,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
2,219,7998,M->E->G->Q->J->V->W->L->X->N->A->D->P->O->Z->B->F->I->R->H->U->S->C->K->Y->T,H2V
2,203,7572,Q->L->X->J->A->H->Y->O->K->U->T->F->E->S->C->G->P->W->D->M->I->N->Z->B->R->V,H2V
2,203,7572,Q->L->X->J->A->H->Y->O->K->U->T->F->E->S->C->G->P->W->D->M->I->N->Z->B->R->V,H2V
2,207,7284,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
2,207,7284,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
2,211,7220,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,H2V
2,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
2,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
3,207,7054,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
3,207,7054,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
3,209,7088,M->E->G->J->V->W->X->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
3,211,6950,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,ZgZg
3,203,7572,Q->L->X->J->A->H->Y->O->K->U->T->F->E->S->C->G->P->W->D->M->I->N->Z->B->R->V,H2V
3,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
3,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
3,211,7220,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,H2V
3,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
3,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
4,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
4,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
4,209,7088,M->E->G->J->V->W->X->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
4,211,6950,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,ZgZg
4,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
4,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,207,6764,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,ZgZg
4,205,7230,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
5,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
5,207,6970,M->E->G->J->V->X->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
5,209,7088,M->E->G->J->V->W->X->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,H2V
5,211,6950,M->E->G->Q->J->V->W->L->X->S->A->D->P->O->B->F->I->R->H->U->N->C->Z->K->Y->T,ZgZg
5,205,7060,M->E->G->X->J->V->W->L->Q->S->A->D->P->O->Z->B->F->I->R->H->U->N->C->K->Y->T,V2H
