Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
0,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
0,217,8726,Z->N->E->P->Y->F->G->C->D->W->L->M->H->J->V->R->B->O->K->S->X->U->I->Q->A->T,H2V
0,229,9074,P->I->D->F->B->G->N->A->Q->L->H->R->T->M->S->J->O->W->K->X->E->Z->V->Y->U->C,H2V
0,217,10766,H->U->X->S->I->P->G->E->Y->J->Q->F->W->V->A->T->B->C->K->O->L->D->M->N->Z->R,ZgZg
0,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
0,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
0,217,8726,Z->N->E->P->Y->F->G->C->D->W->L->M->H->J->V->R->B->O->K->S->X->U->I->Q->A->T,H2V
0,229,9074,P->I->D->F->B->G->N->A->Q->L->H->R->T->M->S->J->O->W->K->X->E->Z->V->Y->U->C,H2V
0,217,10766,H->U->X->S->I->P->G->E->Y->J->Q->F->W->V->A->T->B->C->K->O->L->D->M->N->Z->R,ZgZg
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
1,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
1,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
1,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
1,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
1,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
2,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
2,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
3,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
3,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
4,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
4,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
5,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
5,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
6,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
6,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
7,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
7,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
8,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
8,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
9,207,9516,B->Z->N->O->K->V->F->Y->M->A->S->U->G->P->H->J->L->Q->C->I->T->E->D->R->X->W,H2V
9,215,7900,M->F->X->H->V->R->T->Q->J->A->I->C->O->B->P->U->D->W->E->G->Y->S->K->L->N->Z,V2H
