Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,171,6036,A->X->J->V->I->M->H->F->Q->T->E->D->O->G->P->S->L->N->R->K->Y->B->U->C->W->Z,ZgZg
0,169,7904,A->M->S->E->Q->U->G->R->P->X->I->N->D->V->Z->O->J->K->L->B->F->Y->H->W->C->T,ZgZg
0,191,5310,O->E->V->J->T->A->Y->U->B->P->F->M->K->R->H->Q->W->G->S->X->D->L->C->I->Z->N,V2H
0,179,5576,E->X->I->Y->D->M->O->U->V->L->F->S->J->C->H->A->W->Q->T->Z->P->B->R->K->N->G,H2V
0,189,5412,U->X->M->G->S->P->C->R->T->O->F->Z->D->B->I->V->N->A->H->K->L->Y->E->Q->W->J,V2H
0,171,6036,A->X->J->V->I->M->H->F->Q->T->E->D->O->G->P->S->L->N->R->K->Y->B->U->C->W->Z,ZgZg
0,171,6036,A->X->J->V->I->M->H->F->Q->T->E->D->O->G->P->S->L->N->R->K->Y->B->U->C->W->Z,ZgZg
0,173,6234,W->S->X->G->A->B->N->K->Y->R->P->E->Q->M->H->F->L->V->J->T->I->Z->O->C->U->D,ZgZg
0,181,6036,G->S->A->D->K->E->P->I->Z->N->C->U->J->Q->V->X->O->R->L->B->F->Y->H->W->M->T,V2H
0,197,6062,H->C->S->Z->W->E->G->Q->T->L->X->D->V->U->A->M->K->P->O->R->F->B->Y->I->N->J,V2H
0,191,6424,J->G->R->Y->S->O->P->W->C->U->X->T->M->H->N->Z->B->Q->E->F->A->V->L->K->D->I,V2H
0,171,8616,D->U->C->O->Z->I->T->J->V->L->F->H->M->Q->E->P->R->Y->K->N->B->A->G->X->S->W,ZgZg
0,173,6802,W->O->U->K->V->D->A->T->S->E->G->C->R->M->Y->B->I->H->F->L->Z->P->X->Q->N->J,H2V
0,193,6458,J->L->D->S->Q->C->G->Y->F->U->P->K->V->N->X->O->H->B->A->W->T->E->M->R->Z->I,H2V
0,207,6350,O->U->S->Y->H->X->L->V->E->T->A->R->Q->W->J->P->C->D->I->N->G->B->M->F->K->Z,H2V
0,179,8170,M->Y->L->K->S->T->G->J->F->W->E->Q->U->Z->C->D->V->I->H->A->N->B->X->P->R->O,ZgZg
0,177,8200,H->V->C->B->R->L->K->I->G->D->E->J->M->F->Z->N->X->S->Y->A->U->W->P->O->T->Q,ZgZg
0,201,6456,J->X->T->H->Q->I->B->L->O->Y->D->F->M->W->G->S->E->R->V->K->A->C->Z->U->P->N,V2H
0,201,6476,R->M->O->Z->G->W->E->B->I->X->V->K->A->T->J->N->Y->H->Q->S->P->C->F->L->D->U,H2V
0,181,7054,F->C->O->K->P->S->J->W->V->R->N->L->Q->D->Z->I->U->T->E->G->M->Y->B->H->A->X,V2H
0,225,9740,Z->M->Y->C->U->I->D->W->H->A->T->N->E->J->Q->V->X->P->L->R->S->K->G->B->F->O,V2H
0,223,9266,C->L->G->I->Z->B->Y->V->T->H->O->M->D->E->P->X->K->R->U->Q->W->A->N->J->F->S,H2V
0,213,9020,V->Y->C->L->M->A->Q->R->B->T->P->U->J->E->K->O->I->D->N->Z->H->W->G->F->S->X,H2V
