Algorithm,Run,WalkingTime,ExposureTime
NSGA2Algorithm,Run1,71.0,1250.0
NSGA2Algorithm,Run1,71.0,1240.0
NSGA2Algorithm,Run1,71.0,1216.0
NSGA2Algorithm,Run1,71.0,1214.0
NSGA2Algorithm,Run1,71.0,1212.0
NSGA2Algorithm,Run1,71.0,1210.0
NSGA2Algorithm,Run1,71.0,1208.0
NSGA2Algorithm,Run1,71.0,1206.0
NSGA3Algorithm,Run1,77.0,1824.0
NSGA3Algorithm,Run1,77.0,1384.0
NSGA3Algorithm,Run1,77.0,1382.0
NSGA3Algorithm,Run1,77.0,1372.0
NSGA3Algorithm,Run1,77.0,1370.0
NSGA3Algorithm,Run1,79.0,1368.0
NSGA3Algorithm,Run1,81.0,1310.0
NSGA3Algorithm,Run1,81.0,1308.0
SPEA2Algorithm,Run1,71.0,2162.0
SPEA2Algorithm,Run1,73.0,1772.0
SPEA2Algorithm,Run1,75.0,1642.0
SPEA2Algorithm,Run1,77.0,1514.0
SPEA2Algorithm,Run1,77.0,1498.0
SPEA2Algorithm,Run1,79.0,1476.0
SPEA2Algorithm,Run1,79.0,1462.0
SPEA2Algorithm,Run1,79.0,1450.0
SPEA2Algorithm,Run1,79.0,1448.0
SPEA2Algorithm,Run1,81.0,1436.0
SPEA2Algorithm,Run1,81.0,1422.0
NSGA2Algorithm,Run10,75.0,1304.0
NSGA2Algorithm,Run10,75.0,1302.0
NSGA2Algorithm,Run10,75.0,1300.0
NSGA2Algorithm,Run10,75.0,1292.0
NSGA2Algorithm,Run10,75.0,1290.0
NSGA2Algorithm,Run10,75.0,1286.0
NSGA2Algorithm,Run10,77.0,1284.0
NSGA3Algorithm,Run10,75.0,2442.0
NSGA3Algorithm,Run10,75.0,1292.0
NSGA3Algorithm,Run10,75.0,1288.0
NSGA3Algorithm,Run10,75.0,1286.0
NSGA3Algorithm,Run10,77.0,1284.0
NSGA3Algorithm,Run10,83.0,1274.0
NSGA3Algorithm,Run10,83.0,1198.0
NSGA3Algorithm,Run10,83.0,1152.0
NSGA3Algorithm,Run10,85.0,1138.0
SPEA2Algorithm,Run10,71.0,1742.0
SPEA2Algorithm,Run10,71.0,1344.0
SPEA2Algorithm,Run10,71.0,1216.0
SPEA2Algorithm,Run10,71.0,1214.0
SPEA2Algorithm,Run10,71.0,1212.0
SPEA2Algorithm,Run10,71.0,1210.0
NSGA2Algorithm,Run2,79.0,2006.0
NSGA2Algorithm,Run2,79.0,1526.0
NSGA2Algorithm,Run2,81.0,1486.0
NSGA2Algorithm,Run2,81.0,1484.0
NSGA2Algorithm,Run2,83.0,1428.0
NSGA2Algorithm,Run2,83.0,1416.0
NSGA2Algorithm,Run2,83.0,1398.0
NSGA2Algorithm,Run2,83.0,1396.0
NSGA2Algorithm,Run2,83.0,1296.0
NSGA2Algorithm,Run2,83.0,1294.0
NSGA2Algorithm,Run2,87.0,1288.0
NSGA3Algorithm,Run2,71.0,1246.0
NSGA3Algorithm,Run2,71.0,1242.0
NSGA3Algorithm,Run2,71.0,1240.0
NSGA3Algorithm,Run2,71.0,1238.0
NSGA3Algorithm,Run2,71.0,1218.0
NSGA3Algorithm,Run2,71.0,1210.0
NSGA3Algorithm,Run2,71.0,1208.0
NSGA3Algorithm,Run2,71.0,1206.0
